,occurrenceID,basisOfRecord,Preparations (Physical Samples),eventDate,scientificName,kingdom,phylum,class,order,family,genus,specific Epithet (species),taxonRank,identifiedBy,AI Detection Method/Model,Confidence%,Verification Method,Verification Name,dateIdentified,nomenclaturalCode,individualCount,organismQuantity,organismQuantityType,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,verbatimCoordinateSystem,higherGeography,continent,country,countryCode,stateProvince,county,locality,verbatimLocality,occurrenceRemarks,references,Filename/Run
0,Raft-1/Insect/1,MachineObservation,,2024-07-11 18:32:20,Acrididae--,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,Family,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.303,Human,,2024-07-11,ICZN,1,58,observations,-2.9664563333333334,-60.742545166666666,WGS84,,"-2.96645633333333,-60.7425451666667",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,,,414_dd10e6-85c5d/crop_C01_2024-07-11_22-32-20_-2-9664563333333334_-60-742545166666666_CROPNUMBER_14_UUID_414_dd10e6-85c5d.png
1,Raft-3/Insect/1,MachineObservation,,2024-07-12 00:49:20,Aedes--Meigen_1818,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,,Genus,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.2804999999999999,Human,,2024-07-12,ICZN,22,144,observations,0.0,0.0,WGS84,,"0,0",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [1, 2, 3]",,1623_a5cb3c-1b15b/crop_C03_2024-07-12_04-49-20_0-0_0-0_CROPNUMBER_4_UUID_1623_a5cb3c-1b15b.png
2,Raft-3/Insect/2,MachineObservation,,2024-07-12 01:07:26,Aedes-aegypti-Linnaeus_1762,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes aegypti,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.396,Human,,2024-07-12,ICZN,2,144,observations,0.0,0.0,WGS84,,"0,0",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,,,1687_8e672e-b1159/crop_C03_2024-07-12_05-07-26_0-0_0-0_CROPNUMBER_0_UUID_1687_8e672e-b1159.png
3,Raft-2/Insect/1,MachineObservation,,2024-07-11 20:13:50,Aeshnidae--,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,,,Family,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.312,Human,,2024-07-11,ICZN,2,53,observations,-2.965666333333333,-60.739898,WGS84,,"-2.96566633333333,-60.739898",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [2, 3]",,696_6e9e37-89949/crop_C02_2024-07-12_00-13-50_-2-965666333333333_-60-739898_CROPNUMBER_141_UUID_696_6e9e37-89949.png
4,Raft-3/Insect/3,MachineObservation,,2024-07-11 20:29:20,Amyna-stricta-,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amyna,Amyna stricta,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.258,Human,,2024-07-11,ICZN,1,144,observations,-2.966061333333333,-60.73733466666667,WGS84,,"-2.96606133333333,-60.7373346666667",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,,,703_cff309-e2e19/crop_C03_2024-07-12_00-29-20_-2-966061333333333_-60-73733466666667_CROPNUMBER_186_UUID_703_cff309-e2e19.png
5,Raft-3/Insect/4,MachineObservation,,2024-07-11 20:57:35,Aphididae--,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,Family,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.562,Human,,2024-07-11,ICZN,38,144,observations,-2.9660753333333334,-60.73741716666667,WGS84,,"-2.96607533333333,-60.7374171666667",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [1, 2, 3]",,803_37f5b5-eea24/crop_C03_2024-07-12_00-57-35_-2-9660753333333334_-60-73741716666667_CROPNUMBER_74_UUID_803_37f5b5-eea24.png
6,Raft-2/Insect/2,MachineObservation,,2024-07-11 21:16:24,Apidae--,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,,Family,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.387,Human,,2024-07-11,ICZN,3,53,observations,-2.965673333333333,-60.73988533333333,WGS84,,"-2.96567333333333,-60.7398853333333",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [1, 2]",,920_84ba15-e914c/crop_C02_2024-07-12_01-16-24_-2-965673333333333_-60-73988533333333_CROPNUMBER_34_UUID_920_84ba15-e914c.png
7,Raft-3/Insect/5,MachineObservation,,2024-07-11 22:21:21,Apoica-gelida-Vecht_1972,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Apoica,Apoica gelida,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.273,Human,,2024-07-11,ICZN,1,144,observations,0.0,0.0,WGS84,,"0,0",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,,,1099_52cac5-c0642/crop_C03_2024-07-12_02-21-21_0-0_0-0_CROPNUMBER_24_UUID_1099_52cac5-c0642.png
8,Raft-3/Insect/6,MachineObservation,,2024-07-11 21:39:12,Arawacus-melibaeus-,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Arawacus,Arawacus melibaeus,Species,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.283,Human,,2024-07-11,ICZN,2,144,observations,0.0,0.0,WGS84,,"0,0",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,"Detected at multiple rafts: [2, 3]",,950_e45aec-379fa/crop_C03_2024-07-12_01-39-12_0-0_0-0_CROPNUMBER_1_UUID_950_e45aec-379fa.png
9,Raft-3/Insect/7,MachineObservation,,2024-07-11 19:02:23,Ascalaphidae--,Animalia,Arthropoda,Insecta,Neuroptera,Ascalaphidae,,,Family,AI,"Multiple Insect Segmentation, Tracking and Hierarchical Classification",0.398,Human,,2024-07-11,ICZN,2,144,observations,-2.9659866666666668,-60.73752016666667,WGS84,,"-2.96598666666667,-60.7375201666667",decimal degrees,Brazil,South America,Brazil,BR,Amazonas,,,,,,395_6b164b-0c622/crop_C03_2024-07-11_23-02-23_-2-9659866666666668_-60-73752016666667_CROPNUMBER_67_UUID_395_6b164b-0c622.png
